category,changed_from_baseline,frequency
wild boar,0.6,0
pot,0.41999999999999993,12
tank,0.39999999999999997,6
printer,0.36,12
tub,0.34,4
jeep,0.33999999999999997,0
spider monkey,0.33999999999999997,0
newfoundland,0.33999999999999997,0
shovel,0.33999999999999997,1
cup,0.32,17
vacuum,0.32,0
green snake,0.3,0
maltese dog,0.28,0
soup bowl,0.28,0
plate,0.27999999999999997,57
collie,0.26,1
streetcar,0.26,0
loafer,0.26,0
dandie dinmont,0.26,0
lampshade,0.26,0
pirate,0.26,1
dock,0.26,9
suit,0.25999999999999995,38
chihuahua,0.24000000000000005,0
radio telescope,0.24000000000000005,0
lhasa,0.24000000000000002,0
nail,0.24000000000000002,2
moped,0.24000000000000002,0
upright,0.24000000000000002,0
shield,0.24,0
worm fence,0.24,0
stingray,0.24,0
cradle,0.24,0
jersey,0.24,0
pickup,0.21999999999999997,12
hummingbird,0.21999999999999997,0
laptop,0.21999999999999997,15
lakeside,0.20000000000000007,0
dragonfly,0.20000000000000007,0
giant schnauzer,0.20000000000000007,0
kuvasz,0.20000000000000007,0
ballpoint,0.2,0
king crab,0.2,0
great dane,0.2,0
bouvier des flandres,0.2,0
slug,0.19999999999999996,0
acorn,0.19999999999999996,0
drum,0.19999999999999996,0
mailbox,0.19999999999999996,1
bonnet,0.19999999999999996,0
coyote,0.18000000000000005,0
sax,0.18000000000000005,0
honeycomb,0.18000000000000005,0
cloak,0.18000000000000005,0
switch,0.18000000000000005,1
scale,0.18000000000000002,0
diamondback,0.18000000000000002,0
water bottle,0.18,0
vizsla,0.18,0
frying pan,0.18,0
four-poster,0.18,0
monitor,0.18,16
hair spray,0.18,0
english foxhound,0.18,0
leaf beetle,0.17999999999999994,0
gorilla,0.17999999999999994,3
rottweiler,0.17999999999999994,0
parachute,0.17999999999999994,2
pillow,0.17999999999999994,7
aircraft carrier,0.16000000000000003,0
wig,0.16000000000000003,2
sea slug,0.16000000000000003,0
binder,0.16000000000000003,0
african elephant,0.16000000000000003,0
spider web,0.16000000000000003,0
hare,0.16000000000000003,0
tractor,0.16000000000000003,3
thunder snake,0.16,0
mantis,0.15999999999999998,0
ibizan hound,0.15999999999999998,0
radio,0.15999999999999998,3
mitten,0.15999999999999998,0
lotion,0.15999999999999998,0
bucket,0.15999999999999998,7
vestment,0.15999999999999992,0
pajama,0.15999999999999992,0
sandal,0.15999999999999992,0
leopard,0.15999999999999992,0
baboon,0.14,0
impala,0.14,0
artichoke,0.14,0
coral reef,0.14,0
butternut squash,0.14,0
ping-pong ball,0.14,0
redshank,0.14,0
chest,0.14,1
hay,0.14,7
scorpion,0.14,0
mask,0.14,20
hammer,0.13999999999999999,0
paper towel,0.13999999999999999,0
cricket,0.13999999999999999,11
alp,0.13999999999999996,2
sweatshirt,0.13999999999999996,0
radiator,0.13999999999999996,0
bedlington terrier,0.13999999999999996,0
seashore,0.13999999999999996,0
great white shark,0.13999999999999996,0
packet,0.13999999999999996,0
goblet,0.1399999999999999,0
red-backed sandpiper,0.12000000000000005,0
shower cap,0.12000000000000005,0
arctic fox,0.12,0
pug,0.12,0
canoe,0.12,4
pole,0.12,14
mashed potato,0.12,0
komodo dragon,0.12,0
irish wolfhound,0.12,0
barn spider,0.12,0
lighter,0.12,0
caldron,0.12,0
candle,0.12,20
pick,0.12,0
valley,0.12,3
mushroom,0.12,11
beagle,0.12,0
chain,0.12,2
toaster,0.12,0
bannister,0.12,0
washer,0.12,0
mixing bowl,0.12,0
crib,0.12,1
koala,0.12,0
desk,0.12,45
studio couch,0.12,0
quilt,0.12,0
dough,0.12,0
tree frog,0.10000000000000009,0
cabbage butterfly,0.10000000000000009,0
window shade,0.10000000000000003,0
minivan,0.10000000000000003,0
ram,0.10000000000000003,0
boa constrictor,0.10000000000000003,0
sunglasses,0.1,10
water jug,0.1,0
milk can,0.1,0
breastplate,0.1,0
bearskin,0.09999999999999998,0
ant,0.09999999999999998,0
golden retriever,0.09999999999999998,0
prison,0.09999999999999998,1
west highland white terrier,0.09999999999999998,0
king snake,0.09999999999999998,0
sunscreen,0.09999999999999998,0
doormat,0.09999999999999998,0
plastic bag,0.09999999999999998,0
cucumber,0.09999999999999998,0
broccoli,0.09999999999999998,2
old english sheepdog,0.09999999999999998,0
ibex,0.09999999999999998,0
boxer,0.09999999999999998,0
vase,0.09999999999999998,0
throne,0.09999999999999998,0
tiger beetle,0.09999999999999998,0
centipede,0.09999999999999998,0
window screen,0.09999999999999998,0
tick,0.09999999999999998,0
scabbard,0.09999999999999998,0
television,0.09999999999999998,0
tripod,0.09999999999999998,2
skunk,0.09999999999999998,0
microwave,0.09999999999999998,6
grey fox,0.09999999999999998,0
safe,0.09999999999999998,0
golfcart,0.09999999999999998,0
weevil,0.09999999999999998,0
goldfinch,0.08000000000000007,0
screw,0.08000000000000007,0
hamster,0.08000000000000007,0
slot,0.08000000000000007,0
diaper,0.08000000000000007,0
crate,0.08000000000000007,6
rock crab,0.08000000000000007,0
backpack,0.08000000000000007,7
pineapple,0.08000000000000007,5
teddy,0.08000000000000007,0
trailer truck,0.08000000000000007,0
swing,0.08000000000000007,1
wolf spider,0.08000000000000007,0
can opener,0.08000000000000002,0
sussex spaniel,0.08000000000000002,0
plunger,0.08000000000000002,0
shopping basket,0.08000000000000002,0
gown,0.08000000000000002,0
coil,0.08000000000000002,0
seat belt,0.08000000000000002,0
plow,0.08,0
ox,0.07999999999999999,0
comic book,0.07999999999999996,0
wardrobe,0.07999999999999996,0
fly,0.07999999999999996,0
chow,0.07999999999999996,0
hair slide,0.07999999999999996,0
goldfish,0.07999999999999996,0
white wolf,0.07999999999999996,0
bow,0.07999999999999996,9
komondor,0.07999999999999996,0
yawl,0.07999999999999996,0
