category,changed_from_baseline,frequency
football helmet,-0.023809523809523836,0
rotary phone,-0.023809523809523836,0
giraffe,-0.023809523809523836,1
syringe,-0.027027027027026973,0
saddle,-0.027272727272727337,1
pci card,-0.02857142857142858,0
bowling pin,-0.02970297029702973,0
frisbee,-0.030303030303030276,0
fighter jet,-0.030303030303030276,0
ak47,-0.030612244897959107,0
video projector,-0.030927835051546393,0
beer mug,-0.03191489361702127,0
billiard,-0.03237410071942448,0
playing card,-0.033333333333333326,0
conch,-0.03883495145631066,0
revolver,-0.04040404040404044,0
golf ball,-0.04081632653061218,0
mandolin,-0.043010752688172116,0
baseball glove,-0.04729729729729726,0
drinking straw,-0.04819277108433728,0
cockroach,-0.048387096774193505,0
mountain bike,-0.04878048780487798,0
greyhound,-0.05263157894736836,0
tambourine,-0.052631578947368474,0
chimp,-0.054545454545454564,0
megaphone,-0.058139534883721034,0
human skeleton,-0.059523809523809534,0
paper shredder,-0.0625,0
kayak,-0.06796116504854366,0
wheelbarrow,-0.07692307692307687,0
bowling ball,-0.07692307692307698,0
mussel,-0.08045977011494254,0
gas pump,-0.0842105263157894,0
computer monitor,-0.10526315789473684,0
tricycle,-0.10526315789473684,0
photocopier,-0.10679611650485443,0
harpsichord,-0.11249999999999993,0
tennis shoes,-0.12621359223300976,0
welding mask,-0.13333333333333341,0
tuning fork,-0.14,0
theodolite,-0.1785714285714286,0
