model,T2I.recall@1,T2I.recall@5,T2I.recall@10,I2Trecall@1,I2Trecall@5,I2Trecall@10
clip-baseline,47.89003172161876,77.18927232529079,85.73488416802846,50.95730423128471,79.33180164656328,86.45414512732145
/export/share/projects/mcai/COCO-Counterfactuals/checkpoints-1/CLIP-finetune-on-all-original-ms-coco-1,55.44554455445545,83.99500144189176,90.69499182928,57.17020869232242,84.23319931074096,90.66628374497417
/export/share/projects/mcai/COCO-Counterfactuals/checkpoints-1/CLIP-finetune-on-coco-cfs-1,64.08728251465924,89.5222531961934,94.61693742189752,65.02967643116982,90.2642159678346,94.993298870381
