model,T2I.recall@1,T2I.recall@5,T2I.recall@10,I2Trecall@1,I2Trecall@5,I2Trecall@10
flava-baseline,51.55243679707776,80.64019994232433,88.24377583389406,34.395941030059355,66.62837449741528,78.02029484970323
/export/share/projects/mcai/COCO-Counterfactuals/checkpoints-1/Flava-finetune-on-all-original-ms-coco-1,52.552148418725366,81.08238008266846,88.42641545707968,46.697300402067775,76.3641585295807,85.67872869998085
/export/share/projects/mcai/COCO-Counterfactuals/checkpoints-1/Flava-finetune-on-coco-cfs-1,57.97366144381429,85.1100644044987,91.37748726328944,54.38445337928394,83.35247941795902,90.27378901014742
