model,T2I.recall@1,T2I.recall@5,T2I.recall@10,I2Trecall@1,I2Trecall@5,I2Trecall@10
BT-baseline,28.770546957608385,56.627895799288666,68.4610208593675,35.257514838215585,65.31686770055524,76.72793413746889
/export/share/projects/mcai/COCO-Counterfactuals/checkpoints-1/BT-finetune-on-all-original-ms-coco-1,44.6794193982505,75.3821013169278,84.47563202922234,41.77675665326441,71.77867126172698,81.8782309017806
/export/share/projects/mcai/COCO-Counterfactuals/checkpoints-1/BT-finetune-on-coco-cfs-1,56.627895799288666,84.47563202922234,91.35826203979622,54.37488033697109,83.07486119088647,90.5322611525943
